zip,city,county,state,pop,jobs
90604,Whittier,Los Angeles,CA,42911,"1,101"
90605,Whittier,Los Angeles,CA,40192,"1,098"
90606,Whittier,Los Angeles,CA,32987,"1,094"
90640,Montebello,Los Angeles,CA,62730,"1,090"
90022,Los Angeles,Los Angeles,CA,67014,"1,087"
90650,Norwalk,Los Angeles,CA,105304,"1,084"
90241,Downey,Los Angeles,CA,43215,"1,079"
90660,Pico Rivera,Los Angeles,CA,63001,"1,075"
90621,Buena Park,Orange,CA,35598,"1,060"
90601,Whittier,Los Angeles,CA,32053,"1,060"
90706,Bellflower,Los Angeles,CA,77195,"1,060"
90631,La Habra,Orange,CA,69064,"1,052"
90201,Bell,Los Angeles,CA,101965,"1,050"
90242,Downey,Los Angeles,CA,42694,"1,048"
90255,Huntington Park,Los Angeles,CA,75019,"1,047"
91770,Rosemead,Los Angeles,CA,62703,"1,041"
91745,Hacienda Heights,Los Angeles,CA,55202,"1,040"
90023,Los Angeles,Los Angeles,CA,46680,"1,040"
90713,Lakewood,Los Angeles,CA,28202,"1,037"
91733,South El Monte,Los Angeles,CA,45365,"1,032"
90063,Los Angeles,Los Angeles,CA,53980,"1,028"
90280,South Gate,Los Angeles,CA,94642,"1,026"
92801,Anaheim,Orange,CA,66594,"1,022"
90703,Cerritos,Los Angeles,CA,50589,"1,021"
91754,Monterey Park,Los Angeles,CA,33636,"1,021"
90723,Paramount,Los Angeles,CA,54513,"1,017"
90033,Los Angeles,Los Angeles,CA,49155,"1,016"
90620,Buena Park,Orange,CA,46414,"1,011"
90262,Lynwood,Los Angeles,CA,70536,"1,004"
90032,Los Angeles,Los Angeles,CA,48031,"1,004"
91776,San Gabriel,Los Angeles,CA,38664,"1,004"
90031,Los Angeles,Los Angeles,CA,39916,"1,002"
91731,El Monte,Los Angeles,CA,30222,"1,001"
90805,Long Beach,Los Angeles,CA,95995,996
90012,Los Angeles,Los Angeles,CA,36552,995
91780,Temple City,Los Angeles,CA,35133,994
90001,Los Angeles,Los Angeles,CA,59832,989
90221,Compton,Los Angeles,CA,51688,988
90807,Long Beach,Los Angeles,CA,32202,988
90017,Los Angeles,Los Angeles,CA,27723,983
90222,Compton,Los Angeles,CA,33200,982
90002,Los Angeles,Los Angeles,CA,53302,981
90059,Los Angeles,Los Angeles,CA,46185,980
92821,Brea,Orange,CA,37712,979
90220,Compton,Los Angeles,CA,52817,976
90806,Long Beach,Los Angeles,CA,41990,976
90026,Los Angeles,Los Angeles,CA,68906,973
90011,Los Angeles,Los Angeles,CA,111165,972
91732,El Monte,Los Angeles,CA,62905,971
90007,Los Angeles,Los Angeles,CA,42433,968
90810,Long Beach,Los Angeles,CA,37251,968
90057,Los Angeles,Los Angeles,CA,50152,965
90042,Los Angeles,Los Angeles,CA,63193,964
90006,Los Angeles,Los Angeles,CA,59576,963
92804,Anaheim,Orange,CA,89915,962
90638,La Mirada,Los Angeles,CA,49227,962
91748,Rowland Heights,Los Angeles,CA,47079,959
90037,Los Angeles,Los Angeles,CA,67640,955
92805,Anaheim,Orange,CA,74478,953
90003,Los Angeles,Los Angeles,CA,73730,951
91744,La Puente,Los Angeles,CA,85421,949
90813,Long Beach,Los Angeles,CA,58380,948
90065,Los Angeles,Los Angeles,CA,46461,948
90670,Santa Fe Springs,Los Angeles,CA,16700,948
92833,Fullerton,Orange,CA,52435,946
92831,Fullerton,Orange,CA,37359,945
90808,Long Beach,Los Angeles,CA,39330,945
90044,Los Angeles,Los Angeles,CA,99443,944
90061,Los Angeles,Los Angeles,CA,27873,942
90047,Los Angeles,Los Angeles,CA,51411,939
90005,Los Angeles,Los Angeles,CA,39732,939
